Restaurant ID,Restaurant Name,Country Code,Avg. daily orders,City,Country,Address,Locality,Locality Verbose, Longitude , Latitude ,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Percentage online orders,Desserts,Café Flag,Alcohol,Price range,Q1,Q2,Q3,Q4,Aggregate,Votes
6309903,Silantro Fil-Mex,162,33,Pasig City,Philippines,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.06,14.57,"Filipino, Mexican",800,Botswana Pula(P),No,No,,,,,3,4.8,4.9,5,4.9,4.9,1070
6309455,Mad Marks Creamery & Good Eats,162,35,Pasig City,Philippines,"23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.06,14.57,"American, Ice Cream, Desserts",900,Botswana Pula(P),Yes,No,,1,,1,3,3.9,4,4.2,4.7,4.2,488
6318433,Silantro Fil-Mex,162,31,Quezon City,Philippines,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City",121.08,14.65,"Filipino, Mexican",800,Botswana Pula(P),No,No,,,,1,3,4.9,4.7,4.8,4.8,4.8,294
6310470,Guevarras,162,25,San Juan City,Philippines,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,"Addition Hills, San Juan City",121.03,14.59,Filipino,1000,Botswana Pula(P),Yes,No,,,,,3,4,4.1,4.2,4.5,4.2,458
6314605,Sodam Korean Restaurant,162,30,San Juan City,Philippines,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,"Little Baguio, San Juan City",121.04,14.6,Korean,700,Botswana Pula(P),No,No,,,,,3,4.3,4.1,4.3,4.5,4.3,223
18185059,Cafe Arabelle,162,33,Santa Rosa,Philippines,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa, Santa Rosa",121.06,14.24,"Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,,,1,1,3,3.7,3.7,3.4,3.6,3.6,29
18182702,Nonnas Pasta & Pizzeria,162,45,Santa Rosa,Philippines,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa, Santa Rosa",121.06,14.24,"Italian, Pizza",850,Botswana Pula(P),No,No,,,,1,3,4,3.9,3.5,4.6,4,72
6318213,Balay Dako,162,33,Tagaytay City,Philippines,"Aguinaldo Highway, Tagaytay City",Tagaytay City,"Tagaytay City, Tagaytay City",120.95,14.1,Filipino,1200,Botswana Pula(P),Yes,No,,,,,3,4.5,4.3,4.3,4.9,4.5,211
18255654,Hobing Korean Dessert Cafe,162,38,Taguig City,Philippines,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City","BGC Stopover Pavillion, Bonifacio Global City, Taguig City",121.05,14.55,"Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,,1,1,,2,4.3,4.5,4.4,4.8,4.5,118
6308205,Wildflour Cafe + Bakery,162,38,Taguig City,Philippines,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,"Bonifacio Global City, Taguig City",121.05,14.55,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,,,1,1,4,4.3,4.6,4,4.7,4.4,392
6315438,NIU by Vikings,162,45,Taguig City,Philippines,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.05,14.55,"Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,,,,1,4,4.8,4.9,4.5,4.6,4.7,535
6310406,The Food Hall by Todd English,162,33,Taguig City,Philippines,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.05,14.55,"American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,,,,1,4,4.6,4,4.5,4.9,4.5,618
6600681,Chez Michou,30,32,Brasilia,Brazil,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasi_lia",Asa Norte,"Asa Norte, Brasi_lia",-47.88,-15.76,"Fast Food, French",55,Brazilian Real(R$),No,No,,,,,2,2.8,2.8,3,3.4,3,6
6601005,Cafi© Daniel Briand,30,43,Brasilia,Brazil,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasi_lia",Asa Norte,"Asa Norte, Brasi_lia",-47.88,-15.78,Cafe,30,Brazilian Real(R$),No,No,,,1,,1,3.4,3.3,3.8,4.7,3.8,9
6600292,Casa do Biscoito Mineiro,30,24,Brasilia,Brazil,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasi_lia",Asa Norte,"Asa Norte, Brasi_lia",-47.88,-15.76,Bakery,45,Brazilian Real(R$),No,No,,,,,2,3.5,3.5,3.6,4.2,3.7,11
6600441,Maori,30,34,Brasilia,Brazil,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasi_lia",Asa Norte,"Asa Norte, Brasi_lia",-47.89,-15.76,Brazilian,60,Brazilian Real(R$),No,No,,,,,3,3.5,3.3,3.7,4.7,3.8,11
6600970,Pizza iæ Bessa,30,44,Brasilia,Brazil,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasi_lia",Asa Sul,"Asa Sul, Brasi_lia",-47.92,-15.83,Pizza,50,Brazilian Real(R$),No,No,,,,,2,3.3,2.8,3.3,3.4,3.2,11
6600379,Sushi Loko,30,29,Brasilia,Brazil,"SCS 213, Bloco C, Loja 35, Asa Sul, Brasi_lia",Asa Sul,"Asa Sul, Brasi_lia",-47.92,-15.83,Japanese,80,Brazilian Real(R$),No,No,,,,,3,2.7,2.8,3.2,3.7,3.1,10
6600214,Beirute,30,40,Brasilia,Brazil,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasi_lia",Asa Sul,"Asa Sul, Brasi_lia",-47.91,-15.82,Arabian,90,Brazilian Real(R$),No,No,,,,,3,3.8,3.6,3.2,4.2,3.7,8
6601218,New Koto,30,33,Brasilia,Brazil,"SCS 212, Bloco B, Loja 26, Asa Sul, Brasi_lia",Asa Sul,"Asa Sul, Brasi_lia",-47.91,-15.83,Japanese,200,Brazilian Real(R$),No,No,,,,,4,3.7,3.4,3.3,4.4,3.7,5
6600060,Sandubas Cafi©,30,30,Brasilia,Brazil,"Edifi_cio Josi© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Brasi_lia",Asa Sul,"Asa Sul, Brasi_lia",-47.89,-15.8,"Brazilian, Cafe",30,Brazilian Real(R$),No,No,,,1,,1,-0.1,-0.2,-0.2,0.5,0,2
6600083,Villa Tevere,30,31,Brasilia,Brazil,"CLS 115, Bloco A, Loja 2, Asa Sul, Brasi_lia",Asa Sul,"Asa Sul, Brasi_lia",-47.92,-15.83,Italian,150,Brazilian Real(R$),No,No,,,,,4,3.7,3.8,4,4.9,4.1,12
6601515,Rovereto,30,48,Brasilia,Brazil,"Rua 13 Norte, Lote 4, iguas Claras, Brasi_lia",iguas Claras,"iguas Claras, Brasi_lia",-48.02,-15.84,Pizza,100,Brazilian Real(R$),No,No,,,,,4,2.6,2.9,3,3.9,3.1,9
6601361,Buena Carne,30,43,Brasilia,Brazil,"Avenida Arauciçrias, 1325, Loja 19, iguas Claras, Brasi_lia",iguas Claras,"iguas Claras, Brasi_lia",-48.02,-15.84,"Bar Food, Brazilian",60,Brazilian Real(R$),No,No,,,,,3,3.1,3.5,3.6,4.2,3.6,9
6601602,Taco Pep,30,43,Brasilia,Brazil,"Vila Malls, Avenida das Castanheiras, Lote 1060, i€guas Claras, Brasi_lia",iguas Claras,"iguas Claras, Brasi_lia",-48.02,-15.83,"Mexican, Grill",100,Brazilian Real(R$),No,No,,,,,4,4.1,4,4.3,4.8,4.3,29
6601589,Coco Bambu,30,46,Brasilia,Brazil,"Brasi_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, Brasi_lia","Brasi_lia Shopping, Asa Norte","Brasi_lia Shopping, Asa Norte, Brasi_lia",-47.89,-15.79,International,230,Brazilian Real(R$),No,No,,,,,4,4,4.3,4,4.5,4.2,17
6601862,Taypiç,30,34,Brasilia,Brazil,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasi_lia",Lago Sul,"Lago Sul, Brasi_lia",-47.87,-15.86,"Peruvian, Latin American",100,Brazilian Real(R$),No,No,,,,1,4,3.6,3.4,3.7,3.7,3.6,5
6601595,Outback Steakhouse,30,32,Brasilia,Brazil,"ParkShopping - Piso 2, SAI/SO, irea 6580, Guariç I, Brasi_lia","ParkShopping, Guariç I","ParkShopping, Guariç I, Brasi_lia",-47.96,-15.83,"American, Grill",150,Brazilian Real(R$),No,No,,,,1,4,4,3.9,3.6,4.5,4,10
6601158,Manzuiç,30,38,Brasilia,Brazil,"Ponti£o Lago Sul, SHIS 10, Lote 9, Lago Sul, Brasi_lia","Ponti£o Lago Sul, Lago Sul","Ponti£o Lago Sul, Lago Sul, Brasi_lia",-47.87,-15.83,Seafood,240,Brazilian Real(R$),No,No,,,,,4,3.1,3.3,3.3,3.1,3.2,6
6600427,Coco Bambu,30,23,Brasilia,Brazil,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasi_lia",Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, Brasi_lia",-47.87,-15.82,International,230,Brazilian Real(R$),No,No,,,,,4,4.9,4.8,5,4.9,4.9,30
6600116,Gero,30,31,Brasilia,Brazil,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasi_lia","Shopping Iguatemi, Lago Norte","Shopping Iguatemi, Lago Norte, Brasi_lia",-47.89,-15.72,Italian,350,Brazilian Real(R$),No,No,,,,,4,3.2,3,3.4,3.6,3.3,8
6601457,Brazilian American Burgers,30,36,Brasilia,Brazil,"CLSN 301, Bloco C, Loja 86, Sudoeste, Brasi_lia",Sudoeste,"Sudoeste, Brasi_lia",-47.92,-15.8,"American, Burger",50,Brazilian Real(R$),No,No,,,,1,2,3.1,3.1,3.4,4.8,3.6,9
7303219,Pesqueiro Eco Gourmet,30,38,Rio de Janeiro,Brazil,"Praia da Barra da Tijuca, Avenida Li_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro",-43.38,-23.01,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),No,No,,,,1,4,3.9,3.8,3.5,4.8,4,7
7304307,Confeitaria Colombo,30,27,Rio de Janeiro,Brazil,"Rua Goni_alves Dias, 32, Centro, Rio de Janeiro",Centro,"Centro, Rio de Janeiro",-43.18,-22.91,"Desserts, Cafe",100,Brazilian Real(R$),No,No,,1,1,,4,4.8,4.9,4.7,4.8,4.8,29
7301215,Bibi,30,39,Rio de Janeiro,Brazil,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.19,-22.97,"Juices, Healthy Food",60,Brazilian Real(R$),No,No,,,,1,3,4.6,4.8,4.8,4.6,4.7,24
7300596,Cervantes,30,46,Rio de Janeiro,Brazil,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.18,-22.96,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,,,,,3,4.3,4.8,4.4,4.5,4.5,29
7300612,Amir,30,44,Rio de Janeiro,Brazil,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.18,-22.97,Lebanese,170,Brazilian Real(R$),No,No,,,,,4,4.3,4.4,3.9,4.2,4.2,11
7300704,TT Burger,30,38,Rio de Janeiro,Brazil,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana","Galeria River, Copacabana, Rio de Janeiro",-43.19,-22.99,Burger,60,Brazilian Real(R$),No,No,,,,,3,4.4,5,4.9,4.9,4.8,19
7300955,Braseiro da Giçvea,30,41,Rio de Janeiro,Brazil,"Prai_a Santos Dumont, 116, Giçvea, Rio de Janeiro",Giçvea,"Giçvea, Rio de Janeiro",-43.23,-22.97,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,,,,,4,4.9,4.7,5,5,4.9,40
7300521,Balada Mix,30,40,Rio de Janeiro,Brazil,"Rua Ani_bal de Mendoni_a, 37, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.21,-22.99,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),No,No,,,,,3,4.7,4.4,4.7,4.6,4.6,21
7300515,Garota de Ipanema,30,32,Rio de Janeiro,Brazil,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.2,-22.99,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,,,,,4,4.9,4.9,4.8,5,4.9,49
7300483,Zaziç BistriÇ Tropical,30,28,Rio de Janeiro,Brazil,"Rua Joana Angi©lica, 40, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.21,-22.99,Brazilian,170,Brazilian Real(R$),No,No,,,,,4,4.8,4.5,4.4,4.7,4.6,21
7301064,Fili© de Ouro,30,39,Rio de Janeiro,Brazil,"Rua Jardim Boti¢nico, 731, Jardim Boti¢nico, Lagoa, Rio de Janeiro",Lagoa,"Lagoa, Rio de Janeiro",-43.22,-22.97,Brazilian,90,Brazilian Real(R$),No,No,,,,,3,4,4.6,4.1,4.5,4.3,14
7304312,D.O.C Ristorante,30,32,Rio de Janeiro,Brazil,"Le Monde, Bloco 3, Lojas A/B, Avenida das Ami©ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca","Le Monde, Barra da Tijuca, Rio de Janeiro",-43.35,-23,Italian,150,Brazilian Real(R$),No,No,,,,,4,3.7,4.1,4,4.2,4,5
7300004,Sushi Leblon,30,32,Rio de Janeiro,Brazil,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro",-43.23,-22.98,Japanese,250,Brazilian Real(R$),No,No,,,,,4,4.7,4.8,4.3,4.6,4.6,25
7300868,Talho Capixaba,30,44,Rio de Janeiro,Brazil,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro",-43.23,-22.99,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),No,No,,,,,4,4.3,4.2,4.7,4.4,4.4,13
7302637,Leme Light,30,36,Rio de Janeiro,Brazil,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro",-43.17,-22.96,Brazilian,40,Brazilian Real(R$),No,No,,,,,2,4,3.8,4.2,4.8,4.2,7
7302140,Shirley,30,39,Rio de Janeiro,Brazil,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro",-43.17,-22.96,"Brazilian, Seafood",250,Brazilian Real(R$),No,No,,,,1,4,3.9,4.2,3.7,5,4.2,8
7305048,Quiosque Chopp Brahma,30,47,Rio de Janeiro,Brazil,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Madureira,"Madureira, Rio de Janeiro",-43.34,-22.87,"Bar Food, Brazilian",70,Brazilian Real(R$),No,No,,,,,3,0.1,-0.4,-0.5,0.8,0,1
7302898,Aprazi_vel,30,23,Rio de Janeiro,Brazil,"Rua Aprazi_vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,"Santa Teresa, Rio de Janeiro",-43.19,-22.92,Brazilian,300,Brazilian Real(R$),No,No,,,,,4,4.9,4.5,4.8,4.6,4.7,44
7302859,Aconchego Carioca,30,48,Rio de Janeiro,Brazil,"Rua Bari£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,"Tijuca, Rio de Janeiro",-43.22,-22.91,"Brazilian, Bar Food",85,Brazilian Real(R$),No,No,,,,1,3,4.6,4.6,4.7,4.5,4.6,24
7301700,Garota de Ipanema,30,45,Rio de Janeiro,Brazil,"Avenida Joi£o Alves, 56, Urca, Rio de Janeiro",Urca,"Urca, Rio de Janeiro",-43.16,-22.95,"Brazilian, Bar Food",80,Brazilian Real(R$),No,No,,,,,3,4,4.4,4.3,4.5,4.3,10
6706313,Cantina Famiglia Mancini,30,43,Sao Paulo,Brazil,"Rua Avanhandava, 81, Bela Vista, Si£o Paulo 10000","Bela Vista, Centro","Bela Vista, Centro, Si£o Paulo",-46.65,-23.55,"Italian, Pizza",250,Brazilian Real(R$),No,No,,,,,4,4.3,4.8,4.2,4.7,4.5,49
6704326,Templo da Carne - Marcos Bassi,30,48,Sao Paulo,Brazil,"Rua Treze de Maio, 668, Bela Vista, Si£o Paulo 01327000","Bela Vista, Centro","Bela Vista, Centro, Si£o Paulo",-46.65,-23.56,"Steak, BBQ",250,Brazilian Real(R$),No,No,,,,,4,4.3,4.2,4.3,4.8,4.4,17
6711179,Gopala Hari,30,36,Sao Paulo,Brazil,"Rua Antonio Carlos, 429, Consolai_i£o, Si£o Paulo",Consolai_i£o,"Consolai_i£o, Si£o Paulo",-46.66,-23.56,Indian,70,Brazilian Real(R$),No,No,,,,,3,2.6,2.7,3,4.1,3.1,5
6702797,Jiquitaia,30,40,Sao Paulo,Brazil,"Rua AntiÇnio Carlos, 268, Consolai_i£o, Si£o Paulo",Consolai_i£o,"Consolai_i£o, Si£o Paulo",-46.66,-23.56,Brazilian,100,Brazilian Real(R$),No,No,,,,,4,4.1,3.8,3.9,4.6,4.1,15
6700475,Skye - Hotel Unique,30,28,Sao Paulo,Brazil,"Hotel Unique, Avenida Brigadeiro Lui_s AntiÇnio, 4700, Jardim Paulista, Si£o Paulo","Hotel Unique, Jardim Paulista","Hotel Unique, Jardim Paulista, Si£o Paulo",-46.67,-23.58,"Beverages, International",300,Brazilian Real(R$),No,No,,,,,4,4.8,4.7,4.9,4.8,4.8,59
6713413,Les 3 Brasseurs,30,35,Sao Paulo,Brazil,"Rua Jesui_no Arruda, 470, Itaim Bibi, Si£o Paulo",Itaim Bibi,"Itaim Bibi, Si£o Paulo",-46.68,-23.58,"French, Brazilian, Beverages",120,Brazilian Real(R$),No,No,,1,,,4,4.6,4.1,4.7,5,4.6,30
6714340,Red Steak & Burger,30,23,Sao Paulo,Brazil,"Rua Tabapui£, 1417, Itaim Bibi, Si£o Paulo",Itaim Bibi,"Itaim Bibi, Si£o Paulo",-46.68,-23.59,"Brazilian, Grill",75,Brazilian Real(R$),No,No,,,,,3,3.5,4,3.6,4.5,3.9,5
6710645,Cantinho da Gula,30,43,Sao Paulo,Brazil,"Rua Pedroso Alvarenga, 522, Itaim Bibi, Si£o Paulo, SP",Itaim Bibi,"Itaim Bibi, Si£o Paulo",-46.68,-23.58,Brazilian,55,Brazilian Real(R$),No,No,,,,,2,-0.1,-0.5,-0.5,1.1,0,0
6700402,Paris 6 Classique,30,48,Sao Paulo,Brazil,"Rua Haddock Lobo, 1240, Cerqueira Ci©sar, Jardim Paulista, Si£o Paulo",Jardim Paulista,"Jardim Paulista, Si£o Paulo",-46.67,-23.56,French,200,Brazilian Real(R$),No,No,,,,,4,3,3.3,3.3,4,3.4,73
6700846,Kawa Sushi,30,42,Sao Paulo,Brazil,"Alameda Lorena, 300, Jardim Paulista, Si£o Paulo",Jardim Paulista,"Jardim Paulista, Si£o Paulo",-46.66,-23.57,"Sushi, Japanese",120,Brazilian Real(R$),No,No,,,,,4,3.5,3.4,3.1,4,3.5,9
6702159,A Figueira Rubaiyat,30,35,Sao Paulo,Brazil,"Rua Haddock Lobo, 1738, Cerqueira Ci©sar, Jardim Paulista, Si£o Paulo 10000",Jardim Paulista,"Jardim Paulista, Si£o Paulo",-46.67,-23.57,"BBQ, Grill, Brazilian",300,Brazilian Real(R$),No,No,,,,,4,4.3,4.7,4,4.2,4.3,39
6711666,Kinoshita,30,41,Sao Paulo,Brazil,"Rua Jacques Fi©lix, 405, Vila Nova Conceii_i£o, Moema, Si£o Paulo",Moema,"Moema, Si£o Paulo",-46.67,-23.59,Sushi,230,Brazilian Real(R$),No,No,,,,,4,3.6,3.8,3.7,4.5,3.9,12
6701257,Meats,30,45,Sao Paulo,Brazil,"Rua dos Pinheiros, 320, Pinheiros, Si£o Paulo",Pinheiros,"Pinheiros, Si£o Paulo",-46.68,-23.56,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),No,No,,,,,4,4.2,4.4,3.9,4.7,4.3,68
6706211,Paribar,30,24,Sao Paulo,Brazil,"Prai_a Dom Josi© Gaspar, 42, Repi_blica, Si£o Paulo 10000",Repi_blica,"Repi_blica, Si£o Paulo",-46.64,-23.55,"Brazilian, Italian",150,Brazilian Real(R$),No,No,,,,1,4,4.4,4.4,3.9,4.5,4.3,46
6705858,Terrai_o Itiçlia,30,46,Sao Paulo,Brazil,"Edifi_cio Itiçlia - 41ŒÁ Andar, Avenida Ipiranga, 344, Repi_blica, Si£o Paulo",Repi_blica,"Repi_blica, Si£o Paulo",-46.64,-23.55,Italian,400,Brazilian Real(R$),No,No,,,,,4,4.3,4.1,4.2,5,4.4,37
6701419,Divino Fogi£o,30,37,Sao Paulo,Brazil,"Shopping MetriÇ Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, Si£o Paulo","Shopping MetriÇ Santa Cruz, Vila Mariana","Shopping MetriÇ Santa Cruz, Vila Mariana, Si£o Paulo",-46.64,-23.6,"Brazilian, Mineira",65,Brazilian Real(R$),No,No,,,,,3,-0.5,-0.3,-0.3,1.1,0,2
6703956,Super Grill,30,28,Sao Paulo,Brazil,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni Ji_nior, 1089, Santo Amaro, Si£o Paulo","Shopping Morumbi, Santo Amaro","Shopping Morumbi, Santo Amaro, Si£o Paulo",-46.7,-23.62,Brazilian,50,Brazilian Real(R$),No,No,,,,,2,-0.3,0.1,0,0.2,0,2
6709580,Esquina Mocoti_,30,44,Sao Paulo,Brazil,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, Si£o Paulo",Vila Maria,"Vila Maria, Si£o Paulo",-46.58,-23.49,"Brazilian, North Eastern",100,Brazilian Real(R$),No,No,,,,,4,4.1,4.4,4.3,4.8,4.4,22
6703176,Veloso,30,36,Sao Paulo,Brazil,"Rua Conceii_i£o Veloso, 56, Vila Mariana, Si£o Paulo",Vila Mariana,"Vila Mariana, Si£o Paulo",-46.64,-23.59,"Brazilian, Bar Food, Beverages",70,Brazilian Real(R$),No,No,,,,,3,4.8,4.6,4.2,4.8,4.6,58
6713772,Sainte Marie Gastronomia,30,37,Sao Paulo,Brazil,"Rua Dom Joi£o Batista da Costa, 70, Vila SiÇnia, Si£o Paulo",Vila SiÇnia,"Vila SiÇnia, Si£o Paulo",-46.75,-23.61,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,,,,,4,4.2,3.6,4.1,4.5,4.1,11
17284404,Austins BBQ and Oyster Bar,216,44,Albany,United States,"2820 Meredyth Dr, Albany, GA 31707",Albany,"Albany, Albany",-84.22,31.61,"BBQ, Burger, Seafood",25,Dollar($),No,No,,1,,,2,3.1,2.8,3.4,3.9,3.3,35
